item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
000066,Vacuum_Sealed_Tools,23.5,18.4,17.6,3.81,16,N/A,4183,Maintenance_Bay
000067,Scientific_Sensor,17.0,12.5,45.9,4.88,94,N/A,1208,Cockpit
000068,Seed_Packets,29.9,13.8,13.6,5.2,98,N/A,4,Greenhouse
000069,Microgravity_Lab_Kit,14.9,18.0,11.5,9.9,41,N/A,99,Lab
000070,Waste_Management_Kit,16.8,14.1,10.6,3.1,94,N/A,47,Engineering_Bay
000071,Water_Bottle,49.5,12.3,41.2,12.54,64,N/A,1931,Crew_Quarters
000072,Battery_Pack,27.0,21.1,40.7,11.59,37,N/A,359,Power_Bay
000073,Radiation_Shield,18.0,18.4,45.0,7.45,79,N/A,3584,Engineering_Bay
000074,Asteroid_Sample_Container,13.2,19.4,19.7,8.6,66,N/A,3462,Storage_Bay
000075,Emergency_Beacon,19.7,40.4,11.7,4.66,48,N/A,4777,Cockpit
000076,Space_Suit,25.2,20.0,46.1,11.62,17,N/A,2578,Airlock
000077,LED_Work_Light,36.6,24.7,21.8,9.85,75,N/A,3368,Engineering_Bay
000078,Tether_Reel,10.4,39.1,32.3,6.57,22,N/A,4999,Airlock
000079,CO2_Scrubber,41.9,30.7,32.0,20.58,100,N/A,912,Engineering_Bay
000080,Communication_Device,50.0,47.2,15.9,18.76,51,N/A,1640,Command_Center
000081,First_Aid_Kit,26.1,27.9,12.1,5.6,99,N/A,72,Medical_Bay
000082,Scientific_Sensor,45.6,37.6,10.3,8.83,28,N/A,2014,Lab
000083,Communication_Device,36.3,48.9,21.6,19.17,39,N/A,1937,Command_Center
000084,Food_Packet,12.3,29.1,15.6,7.7,94,2026-07-20,98,Crew_Quarters
000085,Gyroscope_Module,38.4,23.2,35.2,15.68,13,N/A,4445,Engineering_Bay
000086,Seed_Packets,25.0,29.1,17.4,7.3,70,N/A,77,Lab
000087,Helmet_Visor,30.3,40.0,30.5,18.48,80,N/A,931,Crew_Quarters
000088,Research_Samples,19.2,19.0,28.9,4.8,97,N/A,4089,Lab
000089,Helmet_Visor,41.0,42.2,25.1,21.71,9,N/A,4970,Crew_Quarters
000090,Antibiotic_Supply,32.4,18.7,38.4,11.63,21,2026-12-30,1321,Medical_Bay
000091,Waste_Management_Kit,10.1,10.6,19.7,5.4,76,N/A,44,Engineering_Bay
000092,CO2_Scrubber,39.8,49.6,24.2,23.89,67,N/A,298,Engineering_Bay
000093,Communication_Device,16.8,32.0,27.9,7.5,5,N/A,27,Command_Center
000094,Emergency_Beacon,16.4,25.9,39.7,8.43,37,N/A,3005,Cockpit
000095,Tool_Kit,27.7,17.0,27.8,9.0,8,N/A,84,Storage_Bay
000096,Antibiotic_Supply,20.3,15.1,30.8,4.72,35,2026-07-23,3335,Medical_Bay
000097,Water_Bottle,25.0,42.8,38.3,20.49,56,N/A,291,Crew_Quarters
000098,Emergency_Beacon,49.0,32.3,20.0,15.83,95,N/A,2787,Cockpit
000099,CO2_Scrubber,44.0,19.0,49.0,20.48,41,N/A,136,Life_Support
000100,CO2_Scrubber,25.5,11.3,48.6,7.0,41,N/A,958,Engineering_Bay
000101,Battery_Pack,42.2,28.5,20.3,12.21,37,N/A,448,Power_Bay
000102,Tether_Reel,15.2,32.7,23.7,5.89,28,N/A,4452,Airlock
000103,Thruster_Fuel,30.1,39.3,30.7,18.16,5,N/A,4563,Engine_Bay
000104,Gyroscope_Module,15.8,20.1,38.4,6.1,78,N/A,373,Cockpit
000105,Space_Suit,14.1,18.0,27.1,3.44,62,N/A,1654,Storage_Bay
000106,Battery_Pack,15.9,27.6,32.7,7.18,7,N/A,645,Power_Bay
000107,Circuit_Board,46.4,42.4,17.3,17.02,19,N/A,871,Engineering_Bay
000108,First_Aid_Kit,18.1,26.0,26.1,4.1,76,N/A,11,Medical_Bay
000109,3D_Printer,17.6,26.2,11.0,2.54,34,N/A,644,Engineering_Bay
000110,Space_Suit,41.6,35.5,28.6,21.12,26,N/A,2321,Storage_Bay
000111,Water_Bottle,12.2,10.6,38.2,2.47,56,N/A,3272,Crew_Quarters
000112,LED_Work_Light,17.8,16.7,15.7,2.33,40,N/A,2492,Maintenance_Bay
000113,3D_Printer,11.2,41.3,19.6,4.53,34,N/A,4512,Engineering_Bay
000114,Thruster_Fuel,10.6,38.2,27.1,5.49,46,N/A,1979,Engine_Bay
000115,Water_Purification_Unit,12.0,44.9,10.6,2.86,4,N/A,2724,Crew_Quarters
000116,Emergency_Oxygen_Mask,35.7,42.6,26.2,19.92,35,N/A,2824,Medical_Bay
000117,Scientific_Sensor,33.6,46.7,21.5,16.87,76,N/A,1782,Lab
000118,Asteroid_Sample_Container,20.5,15.6,11.6,3.6,62,N/A,1357,Lab
000119,Laptop,42.0,15.9,30.3,10.12,14,N/A,1779,Crew_Quarters
000120,Emergency_Oxygen_Mask,22.6,49.4,32.1,17.92,25,N/A,1396,Medical_Bay
000121,Battery_Pack,25.7,46.1,19.5,11.55,77,N/A,562,External_Storage
000122,Oxygen_Cylinder,16.8,15.9,62.2,17.4,18,N/A,3209,Crew_Quarters
000123,Protein_Bars,10.7,24.1,47.5,6.12,3,N/A,2970,Crew_Quarters
000124,Communication_Device,35.4,18.8,47.0,15.64,9,N/A,3869,Crew_Quarters
000125,Tool_Kit,10.2,24.2,29.4,4.7,26,N/A,61,Maintenance_Bay
000126,Handheld_Spectrometer,28.1,26.0,48.8,17.83,83,N/A,1671,Engineering_Bay
000127,Communication_Device,29.2,11.6,26.9,4.56,32,N/A,1630,Crew_Quarters
000128,Laptop,15.5,25.7,15.9,3.17,37,N/A,821,Crew_Quarters
000129,Medical_Scanner,17.0,11.2,24.2,2.3,42,2026-12-15,33,Medical_Bay
000130,Research_Samples,24.6,28.2,17.4,5.3,57,N/A,1382,Storage_Bay
000131,Radiation_Shield,37.0,19.7,26.0,9.48,52,N/A,3463,Engineering_Bay
000132,Protein_Bars,38.2,26.2,15.5,7.76,6,N/A,2335,Storage_Bay
000133,Microgravity_Lab_Kit,14.6,20.0,26.2,3.5,31,N/A,37,Crew_Quarters
000134,Thruster_Fuel,33.3,12.8,17.9,3.81,35,N/A,3815,Storage_Bay
000135,EV_Suit_Battery,34.0,22.8,45.8,17.75,93,N/A,757,Storage_Bay
000136,Oxygen_Cylinder,20.9,25.1,75.5,19.3,67,N/A,1225,Medical_Bay
000137,Radiation_Shield,49.7,26.4,46.8,30.7,69,N/A,583,Storage_Bay
000138,Emergency_Oxygen_Mask,40.9,40.7,11.4,9.49,24,N/A,4284,Medical_Bay
000139,Space_Suit,44.8,32.3,49.7,35.96,56,N/A,194,Airlock
000140,Asteroid_Sample_Container,28.6,23.6,29.1,9.5,77,N/A,4283,Storage_Bay
000141,Tool_Kit,20.9,23.6,22.2,1.2,92,N/A,65,Storage_Bay
000142,Battery_Pack,26.6,45.4,18.7,11.29,82,N/A,115,External_Storage
000143,Fire_Extinguisher,48.2,12.4,35.0,10.46,73,N/A,4066,Crew_Quarters
000144,Water_Purification_Unit,23.8,26.9,25.3,8.1,63,N/A,3365,Life_Support
000145,Medical_Scanner,29.6,36.7,23.4,12.71,83,2026-10-29,6,Lab
000146,Lab_Microscope,33.3,14.4,46.5,11.15,98,N/A,4066,Lab
000147,Food_Packet,28.1,29.2,20.9,1.2,10,2026-12-04,30,Storage_Bay
000148,Waste_Management_Kit,29.9,16.2,14.7,2.5,55,N/A,71,Sanitation_Bay
000149,CO2_Scrubber,16.2,38.2,26.0,8.04,10,N/A,714,Engineering_Bay
000150,Seed_Packets,15.6,20.5,16.6,1.1,93,N/A,59,Lab
000151,Seed_Packets,21.9,27.6,29.2,9.1,5,N/A,5,Greenhouse
000152,Research_Samples,12.3,26.6,28.0,4.4,95,N/A,2387,Storage_Bay
000153,Waste_Management_Kit,25.4,19.8,16.5,1.7,80,N/A,65,Sanitation_Bay
000154,Antibiotic_Supply,42.4,26.7,27.7,15.68,54,2027-01-29,3426,Lab
000155,LED_Work_Light,19.4,41.3,34.6,13.86,60,N/A,1416,Maintenance_Bay
000156,Battery_Pack,31.6,13.4,11.8,2.5,98,N/A,866,External_Storage
000157,Radiation_Shield,18.5,44.8,25.6,10.61,18,N/A,4939,Storage_Bay
000158,Laptop,17.4,33.0,36.4,10.45,90,N/A,2831,Crew_Quarters
000159,Gyroscope_Module,34.1,26.1,22.2,9.88,88,N/A,4915,Engineering_Bay
000160,LED_Work_Light,40.7,45.3,17.0,15.67,1,N/A,2458,Engineering_Bay
000161,Space_Suit,48.5,19.9,24.5,11.82,64,N/A,4460,Airlock
000162,Navigation_Module,14.4,11.3,10.9,0.89,76,N/A,3919,Cockpit
000163,EV_Suit_Battery,31.7,19.7,15.9,4.96,85,N/A,567,Airlock
000164,Handheld_Spectrometer,26.3,30.3,33.9,13.51,26,N/A,4528,Lab
000165,Oxygen_Cylinder,17.8,29.9,70.2,28.8,96,N/A,3389,Crew_Quarters
000166,Cooling_System,45.6,31.7,31.0,22.41,53,N/A,4235,Power_Bay
000167,Thruster_Fuel,20.3,37.9,13.7,5.27,65,N/A,4280,Engine_Bay
000168,Emergency_Beacon,24.0,43.7,49.1,25.75,79,N/A,4834,Cockpit
000169,Microgravity_Lab_Kit,19.4,18.5,12.4,2.5,54,N/A,2,Lab
000170,First_Aid_Kit,27.4,29.8,16.6,4.5,68,N/A,94,Crew_Quarters
000171,Cooling_System,46.5,32.9,32.0,24.48,9,N/A,3429,Engineering_Bay
000172,Solar_Panel,66.3,94.3,2.4,8.8,18,N/A,1708,Power_Bay
000173,EV_Suit_Battery,24.9,13.9,49.1,8.5,56,N/A,451,Airlock
000174,Seed_Packets,17.9,22.9,17.4,2.0,13,N/A,86,Lab
000175,Navigation_Module,24.8,36.0,39.5,17.63,32,N/A,4672,Command_Center
000176,Solar_Panel,57.4,70.5,1.3,19.6,35,N/A,1585,Power_Bay
000177,Navigation_Module,16.6,39.5,47.1,15.44,91,N/A,4696,Cockpit
000178,Seed_Packets,24.8,26.0,27.8,7.4,9,N/A,16,Greenhouse
000179,Antibiotic_Supply,18.2,24.8,17.2,3.88,37,2026-08-12,450,Medical_Bay
000180,Protein_Bars,47.6,23.6,43.7,24.55,41,N/A,4640,Storage_Bay
000181,Handheld_Spectrometer,14.5,33.5,37.4,9.08,52,N/A,334,Lab
000182,Antibiotic_Supply,30.5,17.4,18.3,4.86,25,2026-03-11,2837,Lab
000183,Battery_Pack,30.0,15.4,47.4,10.95,100,N/A,134,External_Storage
000184,Solar_Panel,67.7,82.8,4.8,9.5,76,N/A,1252,External_Storage
000185,Emergency_Oxygen_Mask,49.5,34.3,26.6,22.58,99,N/A,4605,Crew_Quarters
000186,Food_Packet,10.3,11.9,19.3,4.2,91,2025-07-02,100,Storage_Bay
000187,First_Aid_Kit,21.5,13.5,25.7,6.5,61,N/A,96,Crew_Quarters
000188,Research_Samples,28.8,26.1,12.8,2.3,91,N/A,1471,Storage_Bay
000189,Water_Bottle,25.8,35.8,20.6,9.51,90,N/A,3388,Storage_Bay
000190,Cooling_System,28.0,49.3,49.8,34.37,57,N/A,2015,Power_Bay
000191,Pressure_Regulator,31.0,45.9,38.7,27.53,65,N/A,3344,Airlock
000192,Waste_Management_Kit,22.5,19.4,22.7,4.1,95,N/A,99,Engineering_Bay
000193,Lab_Microscope,41.7,31.9,39.4,26.21,8,N/A,3448,Medical_Bay
000194,Waste_Management_Kit,20.0,27.5,26.6,8.7,82,N/A,81,Engineering_Bay
000195,Antibiotic_Supply,17.2,48.7,17.3,7.25,51,2027-01-16,2520,Lab
000196,Water_Bottle,19.9,33.4,30.3,10.07,13,N/A,766,Storage_Bay
000197,Communication_Device,22.1,41.2,41.1,18.71,95,N/A,3981,Crew_Quarters
000198,Battery_Pack,49.3,33.9,48.6,40.61,94,N/A,787,Power_Bay
000199,Battery_Pack,10.6,46.6,17.1,4.22,59,N/A,845,Power_Bay
000200,CO2_Scrubber,30.5,24.4,27.4,10.2,87,N/A,678,Engineering_Bay
000201,Thruster_Fuel,21.8,43.7,45.6,21.72,77,N/A,4665,Storage_Bay
000202,Gyroscope_Module,21.6,10.8,46.7,5.45,94,N/A,4466,Cockpit
000203,Antibiotic_Supply,16.4,29.1,49.8,11.88,9,2026-12-14,4397,Lab
000204,Asteroid_Sample_Container,16.5,20.1,26.6,6.6,70,N/A,1097,Lab
000205,Medical_Scanner,29.7,38.6,47.1,27.0,55,2026-07-29,77,Medical_Bay
000206,Cooling_System,17.9,40.7,47.3,17.23,2,N/A,600,Engineering_Bay
000207,Water_Bottle,24.8,16.9,17.4,3.65,17,N/A,3383,Crew_Quarters
000208,Vacuum_Sealed_Tools,23.0,35.8,14.7,6.05,26,N/A,3684,Maintenance_Bay
000209,Gyroscope_Module,40.5,23.5,16.0,7.61,88,N/A,1296,Engineering_Bay
000210,Lab_Microscope,10.3,21.5,14.9,1.65,100,N/A,820,Lab
000211,Communication_Device,30.8,47.0,27.8,20.12,91,N/A,1108,Command_Center
000212,Helmet_Visor,19.3,32.6,29.8,9.37,11,N/A,2123,Crew_Quarters
000213,Water_Purification_Unit,44.6,21.4,27.5,13.12,48,N/A,2952,Life_Support
000214,EV_Suit_Battery,27.6,26.0,15.1,5.42,98,N/A,260,Storage_Bay
000215,LED_Work_Light,26.7,44.2,32.1,18.94,96,N/A,2803,Maintenance_Bay
000216,Radiation_Shield,36.5,42.3,47.1,36.36,4,N/A,3786,Storage_Bay
000217,Vacuum_Sealed_Tools,35.6,19.2,46.9,16.03,4,N/A,841,Storage_Bay
000218,Handheld_Spectrometer,17.8,24.7,46.3,10.18,20,N/A,91,Lab
000219,Antibiotic_Supply,46.5,23.6,30.7,16.85,100,2025-07-31,31,Lab
000220,EV_Suit_Battery,16.3,28.1,18.3,4.19,85,N/A,795,Storage_Bay
000221,Navigation_Module,43.6,46.0,23.8,23.87,70,N/A,4576,Command_Center
000222,Emergency_Oxygen_Mask,47.9,11.1,46.8,12.44,62,N/A,728,Medical_Bay
000223,Pressure_Regulator,37.8,25.1,10.3,4.89,98,N/A,1848,Engineering_Bay
000224,Oxygen_Cylinder,21.3,27.5,48.5,44.7,90,N/A,3781,Medical_Bay
000225,Battery_Pack,12.2,38.3,41.0,9.58,5,N/A,180,Power_Bay
000226,Vacuum_Sealed_Tools,43.0,18.4,12.0,4.75,74,N/A,750,Maintenance_Bay
000227,Oxygen_Cylinder,17.1,17.1,78.1,34.2,11,N/A,2501,Medical_Bay
000228,EV_Suit_Battery,33.0,16.5,32.1,8.74,60,N/A,332,Storage_Bay
000229,Tether_Reel,20.6,16.0,46.0,7.58,82,N/A,3874,Airlock
000230,Space_Suit,45.8,29.7,15.1,10.27,5,N/A,4639,Storage_Bay
000231,Cooling_System,13.5,44.3,17.2,5.14,11,N/A,3588,Engineering_Bay
000232,Navigation_Module,30.5,24.1,14.1,5.18,85,N/A,4707,Command_Center
000233,Pressure_Regulator,48.3,17.3,47.2,19.72,60,N/A,4719,Airlock
000234,Helmet_Visor,32.7,41.2,39.9,26.88,19,N/A,4081,Crew_Quarters
000235,Handheld_Spectrometer,18.6,40.8,10.6,4.02,15,N/A,3790,Engineering_Bay
000236,Scientific_Sensor,11.2,32.7,35.6,6.52,59,N/A,3153,Lab
000237,Radiation_Shield,33.4,49.2,41.8,34.34,59,N/A,3467,Engineering_Bay
000238,Protein_Bars,21.9,40.7,31.4,13.99,39,N/A,638,Storage_Bay
000239,Lab_Microscope,13.4,16.9,38.3,4.34,39,N/A,566,Lab
000240,Circuit_Board,33.8,21.0,31.6,11.21,6,N/A,243,Engineering_Bay
000241,Asteroid_Sample_Container,18.0,28.9,26.7,8.6,97,N/A,942,Lab
000242,Gyroscope_Module,12.9,44.7,44.4,12.8,72,N/A,3947,Engineering_Bay
000243,Tether_Reel,26.1,43.4,25.3,14.33,56,N/A,1508,Airlock
000244,Seed_Packets,17.1,14.2,27.1,6.4,90,N/A,77,Lab
000245,Medical_Scanner,37.0,21.4,24.0,9.5,67,2025-12-01,10,Lab
000246,Protein_Bars,15.1,19.4,37.4,5.48,12,N/A,3442,Crew_Quarters
000247,Fire_Extinguisher,19.6,43.1,16.5,6.97,15,N/A,2531,Crew_Quarters
000248,Handheld_Spectrometer,28.1,39.1,29.6,16.26,20,N/A,213,Engineering_Bay
000249,CO2_Scrubber,24.6,24.2,23.6,7.02,64,N/A,971,Life_Support
000250,Circuit_Board,45.6,26.3,12.3,7.38,75,N/A,4327,Engineering_Bay
000251,Oxygen_Cylinder,27.7,22.8,43.5,23.9,61,N/A,339,Airlock
000252,Circuit_Board,49.7,48.8,13.4,16.25,78,N/A,2355,Storage_Bay
000253,Radiation_Shield,18.3,47.0,11.4,4.9,71,N/A,597,Engineering_Bay
000254,Tether_Reel,47.4,33.5,45.1,35.81,21,N/A,1015,Airlock
000255,3D_Printer,46.3,38.6,24.1,21.54,86,N/A,4238,Engineering_Bay
000256,Medical_Scanner,19.8,45.8,23.5,10.66,2,2026-08-26,88,Lab
000257,Communication_Device,30.3,26.5,48.9,19.63,39,N/A,2038,Crew_Quarters
000258,Fire_Extinguisher,45.3,19.1,13.9,6.01,8,N/A,4945,Engineering_Bay
000259,3D_Printer,22.5,29.6,26.6,8.86,95,N/A,109,Lab
000260,Pressure_Regulator,36.9,36.9,42.7,29.07,70,N/A,3388,Engineering_Bay
000261,Antibiotic_Supply,45.7,14.6,39.5,13.18,14,2026-08-14,1088,Medical_Bay
000262,Protein_Bars,36.9,37.4,36.1,24.91,65,N/A,1534,Crew_Quarters
000263,Microgravity_Lab_Kit,23.1,28.4,28.8,1.5,29,N/A,79,Lab
000264,Lab_Microscope,18.9,36.6,41.4,14.32,85,N/A,4308,Lab
000265,3D_Printer,28.4,21.6,39.8,12.21,52,N/A,758,Engineering_Bay
000266,Tool_Kit,13.1,25.3,14.6,1.2,27,N/A,42,Storage_Bay
000267,Tool_Kit,22.6,16.7,11.6,8.0,81,N/A,59,Storage_Bay
000268,Protein_Bars,39.0,16.5,29.7,9.56,43,N/A,316,Crew_Quarters
000269,Seed_Packets,24.2,13.2,11.1,6.4,40,N/A,49,Lab
000270,Communication_Device,17.4,26.1,31.5,7.15,17,N/A,2378,Command_Center
000271,Microgravity_Lab_Kit,27.5,21.5,29.3,8.4,65,N/A,71,Crew_Quarters
000272,Food_Packet,25.8,20.3,26.0,2.5,7,2027-03-01,88,Storage_Bay
000273,Gyroscope_Module,42.2,37.0,23.9,18.66,52,N/A,1310,Cockpit
000274,Research_Samples,27.7,27.3,28.5,1.7,73,N/A,362,Lab
000275,Tether_Reel,26.3,20.7,48.5,13.2,31,N/A,216,Airlock
000276,Emergency_Beacon,14.1,36.5,49.4,12.71,54,N/A,2228,Command_Center
000277,Protein_Bars,41.8,46.7,27.1,26.45,46,N/A,2711,Storage_Bay
000278,Scientific_Sensor,26.6,20.5,40.5,11.04,100,N/A,919,Lab
000279,Oxygen_Cylinder,26.7,16.5,43.9,35.8,60,N/A,3369,Crew_Quarters
000280,Communication_Device,44.9,30.1,13.7,9.26,51,N/A,2660,Crew_Quarters
000281,Emergency_Oxygen_Mask,46.7,10.9,18.1,4.61,72,N/A,1049,Medical_Bay
000282,Communication_Device,41.0,35.7,11.7,8.56,83,N/A,4625,Crew_Quarters
000283,Battery_Pack,17.7,18.2,30.6,4.93,32,N/A,689,External_Storage
000284,Emergency_Oxygen_Mask,15.9,41.4,28.9,9.51,20,N/A,2949,Medical_Bay
000285,Helmet_Visor,26.9,49.2,39.4,26.07,81,N/A,661,Crew_Quarters
000286,Food_Packet,28.7,20.0,14.6,6.2,84,2025-08-16,92,Crew_Quarters
000287,Food_Packet,19.6,16.2,28.8,2.1,94,2025-11-18,31,Storage_Bay
000288,Emergency_Beacon,40.3,24.7,32.9,16.37,39,N/A,3513,Cockpit
000289,CO2_Scrubber,32.9,43.2,34.9,24.8,19,N/A,412,Engineering_Bay
000290,Microgravity_Lab_Kit,28.4,22.3,25.3,7.4,50,N/A,16,Lab
000291,Lab_Microscope,13.9,38.8,34.7,9.36,96,N/A,3709,Medical_Bay
000292,Fire_Extinguisher,23.8,11.2,31.8,4.24,22,N/A,3181,Engineering_Bay
000293,Antibiotic_Supply,35.4,33.3,16.0,9.43,38,2026-06-04,3956,Lab
000294,Medical_Scanner,19.7,25.4,26.6,6.66,41,2026-05-20,11,Medical_Bay
000295,Space_Suit,32.0,45.5,29.7,21.62,33,N/A,1018,Storage_Bay
000296,Water_Purification_Unit,11.9,38.3,18.0,4.1,4,N/A,1162,Crew_Quarters
000297,Laptop,27.0,21.8,45.3,13.33,11,N/A,2675,Command_Center
000298,Fire_Extinguisher,45.4,12.1,31.5,8.65,14,N/A,2375,Crew_Quarters
000299,Tether_Reel,34.8,34.2,43.0,25.59,60,N/A,484,Airlock
000300,First_Aid_Kit,14.4,13.8,23.4,1.2,41,N/A,36,Medical_Bay
000301,Cooling_System,37.8,35.1,47.9,31.78,51,N/A,4002,Engineering_Bay
000302,Gyroscope_Module,31.7,43.5,16.6,11.45,13,N/A,3669,Cockpit
000303,CO2_Scrubber,48.6,43.9,41.9,44.7,19,N/A,705,Life_Support
000304,Scientific_Sensor,19.0,32.6,30.7,9.51,47,N/A,4489,Lab
000305,Asteroid_Sample_Container,28.1,28.5,19.9,9.8,22,N/A,341,Storage_Bay
000306,Laptop,26.7,49.6,22.1,14.63,45,N/A,1044,Crew_Quarters
000307,Circuit_Board,36.4,13.8,46.4,11.65,5,N/A,4348,Engineering_Bay
000308,Radiation_Shield,32.7,18.9,30.0,9.27,73,N/A,1388,Storage_Bay
000309,LED_Work_Light,48.7,20.6,16.5,8.28,79,N/A,4946,Maintenance_Bay
000310,Tether_Reel,23.9,25.6,13.6,4.16,33,N/A,4797,External_Storage
000311,Emergency_Oxygen_Mask,21.3,35.2,34.8,13.05,49,N/A,906,Medical_Bay
